VOLKRAJ;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;SKRUTINIUM;PORADIMAND;PORADINAHR;POHLAVI
1;6;16;František;Staněk;;;65;angažovaný občan - důchodce;Praha;1;99;98;A;5;0,85;N;0;0;0;
1;6;17;František;Heršálek;;;68;technik - důchodce;Střevač;573540;99;98;A;4;0,68;N;0;0;0;
1;6;18;Miroslav;Roubínek;;;46;správce počítačové sítě;Verušičky;555711;99;98;A;6;1,02;N;0;0;0;
1;6;19;Bronislava;Zigová;;;62;angažovaný občan - Český ombudsman;Nové Město na Moravě;596230;99;98;A;8;1,36;N;0;0;0;
1;6;20;Karel;Palát;;;63;vedoucí montér;Třebíč;590266;99;98;A;3;0,51;N;0;0;0;
1;6;21;Marek;Kořínek;;;64;živnostník;Prostějov;589250;99;98;A;2;0,34;N;0;0;0;
1;6;22;Miroslav;Durdil;;;72;volný novinář;Praha;1;99;98;A;8;1,36;N;0;0;0;
1;6;23;Jiří;Budník;;;62;dělník - důchodce;Bohumín;599051;99;98;A;1;0,17;N;0;0;0;
1;6;24;Josef;Cafourek;;;73;podnikatel;Praha;1;99;98;A;3;0,51;N;0;0;0;
1;6;25;Petr;Přistoupil;;;39;zřizovatel a jednatel spolku;Ústí nad Labem;5;99;98;A;7;1,19;N;0;0;0;
1;6;26;Václav;Kobaník;;;70;seřizovač - důchodce;Teplice;567442;99;98;A;5;0,85;N;0;0;0;
1;6;27;Jan;Šafář;;;74;důchodce;Prštice;583707;99;98;A;3;0,51;N;0;0;0;
1;7;1;Jana;Peterková;;;45;předsedkyně platformy NEOČKOVANÍ, novinářka;Praha;1;99;762;N;0;0;N;0;0;0;
1;7;2;Daniel;Solis;Lic.;LL.M.;53;politolog;Praha;1;99;762;A;52;9,9;N;0;0;0;
1;7;3;Jan;Kozák;Mgr.;;70;nakladatel, překladatel ze sanskrtu;Praha;1;99;762;A;40;7,61;N;0;0;0;
1;7;4;Věra;Čavdarova Bouřová;;;48;sociální pracovnice;Kladno;532053;762;762;A;20;3,8;N;0;0;0;
1;7;5;Jan;Panocha;;;39;rentier;Praha;1;79;762;A;18;3,42;N;0;0;0;
1;7;6;Helena;Dostálová;Ing.;;71;ekonomka;Nymburk;537004;762;762;A;8;1,52;N;0;0;0;
1;7;7;Miloš;Sádecký;;;57;manažer v IT;Praha;1;79;762;A;18;3,42;N;0;0;0;
1;7;8;Dagmar Anežka;Zoššáková;;;55;švadlena;Praha;1;762;762;A;8;1,52;N;0;0;0;
1;7;9;Miroslav;Kelnar;Ing.;;67;ekonom;Praha;1;79;762;A;20;3,8;N;0;0;0;
1;7;10;Renáta;Martínková;;;57;pedagog;Praha;1;762;762;A;7;1,33;N;0;0;0;
